微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",天津港爆炸事故,此刻转发微博,送送这6名牺牲的消防战士,12日晚,天津滨海新区发生危险品爆炸事故,灭火中,10多名消防战士牺牲,18名官兵失联,66名官兵受伤,目前6名牺牲战士的身份已确认,请记住他们的名字,邵俊强,田宝健,杨钢,尹艳荣,袁海,甄宇航,最大的30岁,最小的18岁,走好,组图共6张,原图,",True,2015-08-13 18:53,微博 weibo.com,186050,563409,136261
",如果你记得今天,请转发微博传递历史,81年前的今天,卢沟桥的一声枪响,拉开了全民族抗战的序幕,大片国土沦陷,3500万同胞伤亡,81年了,山河日新,国力日强,可这鲜血与抗争写就的历史从未被忘怀,又到七七,悼念同胞,缅怀先烈,也始终牢记,落后就要挨打,发展才能强大,勿忘国殇,吾辈自强,组图共9张,原图,",True,2018-07-07 07:30,微博 weibo.com,57455,799420,12864
",帅,觉醒东方唱响中国品牌,为你瞩目,记不清我们何时相遇,但每个瞬间都与你在一起,中国品牌日MV主题曲,为你瞩目,觉醒东方五子青春呈现,与你一起表白中国品牌,戳视频,让小哥哥们唱给你听,人民日报的秒拍视频,",True,2018-05-10 10:30,微博 weibo.com,14612,817415,7184
",十九大,习近平报告,这些话,真给力,转发,学习,组图共9张,原图,",True,2017-10-18 12:47,新媒体聚合平台,426034,363048,41619
",今天,转发微博,致敬消防英雄,灾难面前,用生命诠释最美逆行,危急时刻,以血肉之躯倾力救援,地震,洪水,火灾,哪有危难,他们就在哪里,哪怕我们并不知他们的姓名,和平年代,他们却与,牺牲,如此接近,只为守护你我平安,今天,全国消防日,逆火而行的人,愿你每次出发,都能平安归来,人民日报的秒拍视频,",True,2018-11-09 07:30,微博 weibo.com,88955,697156,12761
",正在直播,超强台风,山竹登陆,广东史上最大规模台风预警,发出,珠三角沿海城市全线红色预警,人民日报,带你直击台风现场,一起去看,人民日报的微博直播,",True,2018-09-16 09:07,微博网页版,680795,29324,12980
",今天,致敬所有教育的燃灯者,他们坚守讲台,给人以美好,予人以希望,他们温暖又坚定,平凡但伟大,国将兴,必贵师而重傅,今天,第34个教师节,转发,向老师道一声,教师节快乐,人民日报的秒拍视频,",True,2018-09-10 08:28,新媒体聚合平台,28078,672774,10974
",菲律宾南海仲裁庭作出非法无效裁决,中方声明,不接受,不承认,菲律宾南海仲裁案仲裁庭12日作出非法无效的所谓最终裁决,对此,中方多次声明,菲律宾共和国阿基诺三世政府单方面提起仲裁违背国际法,仲裁庭没有管辖权,中国不接受,不承认,组图共9张,原图,",True,2016-07-12 17:08,微博 weibo.com,292863,348414,52879
"54年前的今天,官宣,官宣体,原图,",True,2018-10-16 13:56,微博 weibo.com,587207,50418,25823
",李克强就疫苗事件作出批示,必须给全国人民一个明明白白的交代,李克强总理就疫苗事件作出批示,此次疫苗事件突破人的道德底线,必须给全国人民一个明明白白的交代,李克强在批示中要求,国务院要立刻派出调查组,对所有疫苗生产,销售等全流程全链条进行彻查,尽快查清事实真相,不论涉及到哪些企业,哪些人都坚决严惩不贷,绝不姑息,对一切危害人民生命安全的违法犯罪行为坚决重拳打击,对不法分子坚决依法严惩,对监管失职渎职行为坚决严厉问责,尽早还人民群众一个安全,放心,可信任的生活环境,此前7月16日,李克强已就疫苗事件作出批示,要求彻查,原图,",True,2018-07-22 23:50,微博 weibo.com,414391,107971,97394
"近日,西藏,海拔4700米,边防哨点前,漫天风雪中挺立着,两棵松,中国军网,组图共2张,原图,",True,2017-12-12 13:17,新媒体聚合平台,484149,56312,48816
",香港学生毕业典礼上不尊重国歌,被校方轰出现场,你们选错了学校,12月16日,港专学院举行毕业典礼,虽然校方事前已公布典礼中播国歌的相关规则,但却有两名毕业生在奏国歌时拒绝肃立,学校将这两名涉事学生逐出了会场,该校校长回应,港专作为一个爱国爱港的学校,必定高举爱国旗帜,这个是没有任何妥协余地的,你们如果连这件事都不知道,那就是你们选错了学校,环球时报的秒拍视频,",True,2017-12-17 17:27,微博 weibo.com,416250,80410,74625
",为中国足球加油,今晚这条微博一定要转,中国队1,0战胜韩国队,祝贺中国男足,组图共9张,原图,",True,2017-03-23 21:29,微博 weibo.com,292579,236819,33953
",这就是中国态度,原图,",True,2019-05-14 08:44,微博 weibo.com,384571,140296,35082
",我爱你中国,转发这条微博,你的微博昵称ID后面会出现国旗,今天,10月1日,中国有我,一起表白祖国,原图,",True,2018-10-01 08:22,新媒体聚合平台,93625,424295,40230
",转起,武大靖创世界纪录夺冠,中国代表团平昌首金,2018年冬奥会,短道速滑男子500米决赛,中国选手武大靖从出发便占据第一位,以绝对实力第一个冲过终点,创造了新的世界纪录获得冠军,这是中国代表团本届冬奥会的首枚金牌,恭喜,武大靖,恭喜中国代表团,CCTV5的微博视频,",True,2018-02-22 19:26,新媒体聚合平台,52650,495580,9844
",南方多地迎来强降雨,速转安全避险攻略,连日来,南方多地暴雨,长江,一号洪水,形成,湖南,广西,广东,江西等多省受灾严重,雨天安全事故易发,提前做好防范,行车时熄火怎么办,车辆落水如何自救,遭遇洪水,滑坡,泥石流等灾害,如何应对,逃生,安全避险攻略,有备无患,扩散,组图共9张,原图,",True,2017-07-03 07:33,新媒体聚合平台,14320,534838,3348
