微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",转发微博,为了不能忘却的纪念,79年前的今天,卢沟桥的枪声,打破安宁,也拉开全民族抗战的序幕,8年浴血奋战,超过3500万军民伤亡,中华民族遭受屈辱,也以顽强抗战,迎来属于民族的胜利,如今硝烟散去,但曾经的牺牲,抗争不该被遗忘,今天,抗战纪念日,铭记历史,吾辈自强,今日,每日,组图共9张,原图,",True,2016-07-07 06:59,人民日报微博,38141,90251,8370
",因家长在殡仪馆工作孤立学生,小学班主任被停职,近日,广西百色一名蒋姓小学老师得知学生家长在殡仪馆工作后孤立其孩子,公开在家长群辱骂威胁家长,私下向家长兜售红糖并与是否处罚学生挂钩,29日,当地教育局通报称,初步核实,家长反映问题基本属实,目前,该老师已被停职,",True,2019-01-30 08:55,新媒体聚合平台,77060,20255,39031
",洞朗结束对峙,中国外交部,印度撤军,中国外交部,8月28日下午14时30分许,印方将越界人员和设备全部撤回边界印方一侧,中方现场人员对此进行了确认,中方将继续按照历史界约规定行使主权权利,维护领土主权,原图,",True,2017-08-28 15:22,新媒体聚合平台,77342,15430,42771
"所谓的南海仲裁案裁决后,大国朋友圈是这样的,原图,",True,2016-07-12 21:46,人民日报微博,88036,35920,11586
",91岁爷爷迷路,93岁奶奶甜蜜责骂,我不要跟你在一起了,12月25日晚,安徽郎溪县民警将一名迷路的91岁老爷爷送回家,家中93岁的奶奶甜蜜责骂,我要你别出去,你不相信我,我不要跟你在一起了,爷爷还不服气地回嘴,两人联手给警察喂了一肚子,狗粮,网友,满满的人民日报的秒拍视频,",True,2018-12-29 13:47,新媒体聚合平台,97634,22700,15109
",今天,为,最可爱的人,发微博,转起致敬,1952年的今天,抗美援朝最激烈战役,上甘岭战役打响,43天,联合国军,对志愿军倾泻炮弹190余万发,每秒6发,抗美援朝战争,183108名志愿军官兵,英勇牺牲,黄继光只身堵抢眼,孙占元拉响手榴弹与敌同归于尽,今天,为烈士发条微博,转,组图共9张,原图,",True,2017-10-14 09:36,新媒体聚合平台,108358,20191,6830
",警惕,韩国13种化妆品重金属超标,快看看有你常用的吗,近日,韩国食品医药品安全处表示,韩国爱茉莉太平洋等8家化妆品企业的13种产品被查出重金属,锑,超标,包括韩国爱茉莉太平洋旗下品牌爱莉达恩和伊蒂之屋的遮瑕膏,遮瑕棒,眉笔等,思亲肤品牌的樱桃唇线笔等,央视财经的微博视频转发提醒TA,",True,2018-03-21 08:34,新媒体聚合平台,45076,45224,44200
",金庸逝世,享年94岁,武侠小说泰斗金庸逝世,享年94岁,金庸,原名查良镛,创作了多部脍炙人口的武侠小说,包括,雪山飞狐,天龙八部,射雕英雄传,鹿鼎记,笑傲江湖,书剑恩仇录,神雕侠侣,等,大侠走好,人民日报记者张庆波,组图共9张,原图,",True,2018-10-30 19:33,新媒体聚合平台,58277,58009,18097
",惊艳,外交部河南全球推介活动主题宣传片发布,5000年前,中华文明的璀璨在这里开始,2000年前,古代丝绸之路在这里重开,1000年前,世界上最繁华的都城在这里出现,今日之河南,主动融入一带一路,生机勃发,一个开放的河南,与全球互联互通,共享共赢,精彩河南的秒拍视频,",True,2018-04-14 08:57,新媒体聚合平台,72045,35616,26441
",妈妈的爱心食堂,我用这样的方式,思念天堂的女儿,云南王兰兰的女儿在12年前因病离世,临终前的愿望是作一名慈善家,为圆女儿的遗愿,她开了一个爱心食堂,为孤寡老人和残障人士提供午晚餐,每份只收3元,她说,女儿没有走完的路,我用一生慢慢走,二更隐藏菜单的秒拍视频,",True,2017-12-10 21:01,新媒体聚合平台,92049,27884,14061
",奥黛丽,赫本,天使在人间,她是敬业先锋,一生出演26部电影,2次获奥斯卡金像奖,她是,罗马假日,的公主,是,有史以来最美的女人,是,百年来最伟大的女演员,之一,她是慈善大使,晚年频走非洲,将关爱献给儿童,1993年的今天,奥黛丽,赫本病逝,她的爱心,美丽,优雅,可曾打动过你,组图共9张,原图,",True,2018-01-20 15:40,微博 weibo.com,115084,13245,5076
",感动,海军版,成都,唱哭无数异地恋军人,对得起这身军装,对得起这片海疆,真的只能对不起你,忍受了太多分离,为你默默敬一个军礼,海军版,成都,唱哭无数异地恋军人,",True,2017-04-16 20:42,新媒体聚合平台,33970,83277,16017
",身穿30斤重铅衣,医生边,吃,辐射边救人,重庆肿瘤医院,有这样一群医生,他们每次手术都必须头戴铅帽,身穿30多斤重的铅衣,甚至连内裤都是铅制,即使这样,一台手术下来他们所,吃,的射线相当于普通放射科医生一年的量,他们,就是医院里的铅衣人,向无数像他们一样的铅衣人致敬,图,视觉中国,组图共9张,原图,",True,2016-12-23 09:30,新媒体聚合平台,114334,7693,11210
",拼了,研究生考试在即,有人复习到凌晨两点,2018年全国硕士研究生考试即将于本月23日至25日举行,考研复习备考也进入全力冲刺的最后阶段,近日,北京某高校,有考生甚至在自习室复习到凌晨两点,为了背诵,他们在楼道穿着厚棉衣复习,拼了,研究生考试在即,有人复习到凌晨两点转发祝福,为坚持到最后的考生们加油,组图共9张,原图,",True,2017-12-20 10:29,新媒体聚合平台,102911,10835,19454
",中国男子仰泳首位世界冠军,徐嘉余,在刚刚结束的2017国际泳联世锦赛男子100米仰泳决赛,中国选手徐嘉余游出52秒44,成为中国男子仰泳的首位世界冠军,一起转,祝贺徐嘉余,祝贺中国游泳队,微博视频,",True,2017-07-26 00:59,新媒体聚合平台,120036,8024,5093
",寻找英雄,清明将至,转发微博,迎烈士回家,曾经,他们保家卫国,英勇就义,如今,共和国用最高礼仪迎接英雄归来,2014年,2018年,5批共589位烈士遗骸被接回,明天,第六批在韩,志愿军遗骸回家,山河已无恙,最可爱的人,我们接你们回家,人民日报的秒拍视频,",True,2019-04-02 09:20,新媒体聚合平台,100065,24591,8462
",十年对比挑战,中国空降兵小姐姐来啦,网友,当兵了更美,我们的天空,组图共6张,原图,",True,2019-01-19 19:23,新媒体聚合平台,97638,20787,14276
",做表必备,9个Excel神技巧,拯救你的工作效率,函数公式虽然厉害,可对大多数人来说,Excel用得最多的,还是些基本的小技巧,如何快速隐藏列,怎样选择大量连续单元格,怎么快速重复上一步操作,9个处处用得到的Excel小技巧,只要熟练掌握,工作效率轻松翻十倍,学生党,职场人士速收,组图共9张,原图,",True,2017-08-18 13:49,新媒体聚合平台,49451,81036,2208
",南京大屠杀死难者国家,公祭日,为30万遇难同胞降半旗致哀,13日晨,7时整,在侵华日军南京大屠杀遇难同胞纪念馆集会广场,举行升国旗,下半旗仪式,以国之名,向30万遇难同胞致哀,转发,愿逝者安息,和平永存,勿忘历史,吾辈自强,中新视频的秒拍视频,",True,2018-12-13 08:35,新媒体聚合平台,57860,67530,7240
",好消息,铁路退改签新政,15天以上退票不收退票费,自12月3日起,对开车前15天以上退票的,不收取退票费,开车前48小时以上,可改签预售期内的任意车次,开车前48小时以内,可改签从办理改签之时至票面日期当日24,00之间的其他车次,开车之后,仍可改签当日其他车次,转起,陆娅楠,原图,",True,2014-11-30 10:46,人民日报微博,34502,82664,14943
",伴你高飞,法国男子驾驶超轻型飞机带领鸟类迁徙,克里斯蒂安,穆莱克是一位58岁的法国气象学家,十几年前,他收养了一群鸟类,每年到鸟类迁徙的时候,穆莱克就驾驶超轻型飞机,帮助它们找到合适栖息的环境,带领鸟儿们飞往正确安全的方向,网友,第一次以这样的视角看见鸟飞行,环球时报的秒拍视频,",True,2018-02-05 21:23,新媒体聚合平台,90001,30467,11602
",重庆一高校男生寝室装彩灯,梦幻似童话,近日,重庆工业职业技术学院一男生寝室在网上走红,温馨的灯光和精致的床帘,网友直呼不敢相信这是男生寝室,该寝室大一男生深海同学介绍,布置寝室是为了让寝室更美观整洁,装修风格为地中海加小清新,墙纸和灯一共花费200多元,重庆晨报,组图共9张,原图,",True,2016-12-07 15:08,新媒体聚合平台,93814,11346,26782
",你微博,朋友圈发的每一句话,日后都可能成为呈堂证供,日前,最高法,最高检,公安部联合下发规定,明确网页,微博客,朋友圈,贴吧等网络平台发布的信息属电子数据,法院,检察院和公安机关有权依法向有关单位和个人收集,调取电子数据,规定将从2016年10月1日起施行,",True,2016-09-21 15:57,人民日报微博,43697,62597,25439
"赵薇影片被网友抵制,军媒发声,赵薇影片被网友抵制,军媒发声,",True,2016-07-14 17:27,微博 weibo.com,77428,22757,31502
",南京今日举行国家公祭仪式,全城默哀一分钟,今天,第五个南京大屠杀死难者国家,公祭日,上午10时,国家公祭仪式将举行,10,01,10,02,警报将全城鸣响,首部国家公祭地方法规,南京市国家公祭保障条例,今日施行,规定国家公祭日当天全城默哀一分钟,勿忘历史,珍爱和平,南京今日举行国家公祭仪式,全城将默哀一分钟,组图共9张,原图,",True,2018-12-13 09:28,新媒体聚合平台,79273,34825,17322
",最火8分钟减腿训练,再粗壮的腿也能减,简单高效8分钟减腿练习,无论大腿,还是小腿,只要坚持两周都能减下来,每个动作练到哪一块肌肉一目了然,非常科学且有效,时长8分钟,建议先马后练,",True,2016-10-15 14:14,微博 weibo.com,56679,68521,6116
",外交部被问花莲地震,提醒外媒,走错片场,在2月7日的外交部例行记者会上,有外媒记者就台湾花莲地震提问,中国大陆方面提出帮助台湾地区应对地震,台湾方面是否已作出回应,对此,耿爽回击称,关于台湾花莲地震,这不是外交问题,国台办发言人已经就此发表谈话,你可以上网查询,原图,",True,2018-02-08 14:27,新媒体聚合平台,93157,19479,18447
",扶老人,又遭索赔,还好有监控,扶起摔倒的老人,垫付200元医药费,可王女士没听到感谢,却被要求赔偿4万元医疗费,她坚称自己是助人为乐,但老人却咬定她是肇事者,不是你撞的,你能帮着送医院吗,幸好,监控录像还原真相,老人和亲属连声道歉,服务器拒绝执行该请求别让善意再受伤,原图,",True,2013-08-19 19:07,人民日报微博,12361,71191,47234
",随手转发,就可能挽救一条小生命,一场秋雨一场寒,天气转冷,一些流浪的小动物们开始寻找温暖的住所,开车的小伙伴注意啦,开车前,拍拍引擎盖,按下喇叭,确保没有熟睡的小动物,用爱给小动物送去温暖,为了您和它们的安全,扩散,组图共9张,原图,",True,2017-10-12 12:34,新媒体聚合平台,79437,44315,6974
",真,惊艳,高二女生手绘,最美黑板报,雄伟绵延的长城,漫天的孔明灯,被16岁的福州高二女生杨童婳,hu,EchowL,搬到了黑板上,她在水粉画中加入荧光涂料,使得这幅画在不同光线下都能呈现惊艳之感,杨童婳酷爱画画,两年里画了七八次黑板,每幅都让人挪不开眼,福州高二才女手绘,最美黑板报,收到万余点赞,组图共9张,原图,",True,2017-02-27 18:48,新媒体聚合平台,86854,23704,20086
",转发微博,为了不能忘却的纪念,9月3日,是每个中国人都该铭记的日子,14年浴血奋战,3500多万同胞伤亡,72年前的这一天,终于迎来中华民族的胜利,如今,硝烟散去,和平安宁,然而曾经那段血泪写就的过去不能忘,那场不屈不挠的抗争不敢忘,今天,祭奠死难同胞,更提醒你我,勿忘历史,吾辈自强,组图共9张,原图,",True,2017-09-03 07:00,微博 weibo.com,95679,29193,5653
",孤独与荣耀,他放弃英国国籍,一个人为中国而战,出战里约奥运的中国运动员中,他是唯一单人出战一个大项的选手,他和战马堂,热内卢获第8,创造历史,为代表中国参加奥运,2006年他放弃英国国籍,面对争议他说,我是中国人,这也是我的家,他是华天,孤独与荣耀,他放弃英国国籍,一个人为中国而战,",True,2016-08-11 20:55,微博 weibo.com,110832,10736,8912
",抖音投放广告现侮辱英烈内容,五家公司被约谈,6月30日,国家网信办指导北京市网信办会同北京市工商局依法联合约谈抖音,搜狗,北京多彩互动广告有限公司,北京爱普新媒体科技有限公司,霍尔果斯宝盛广告有限公司,针对抖音在搜狗搜索引擎投放的广告中出现侮辱英烈内容问题,要求五家公司自约谈之日起启动广告业务专项整改,北京市网信办,市工商局联合约谈抖音,搜狗等公司并要求专项整改,组图共2张,原图,",True,2018-07-01 15:52,新媒体聚合平台,69485,18310,42679
",四川木里县森林大火,请记住这30个名字,牺牲英雄名录,这是一份沉重的名单,记住这30个名字,哀悼英雄,组图共4张,原图,",True,2019-04-02 13:53,新媒体聚合平台,50749,65667,14023
",一起看奥运,里约奥运会今天闭幕,中国军团共斩获26枚金牌,位居金牌榜第3位,视频回顾26个精彩夺金瞬间,转发收藏,向所有中国奥运健儿致敬,为你们自豪,人民日报的秒拍视频,",True,2016-08-22 10:17,人民日报微博,63737,53508,13144
",海航允许携带宠物进入客舱,统一收费800元,近日,海南航空试行,客舱运输宠物,产品服务,要求为一般家庭驯养的猫,狗,需6个月以上,健康,未怀孕,未在48小时内分娩,旅客需为宠物佩戴口套,穿戴纸尿裤,并全程将其置于宠物箱中,不得喂食,每只收费800元,其他乘客如不想挨着宠物,可申请调换座位,海航,宠物猫狗可伴主人坐飞机,统一收费800元每只,组图共2张,原图,",True,2018-01-20 10:29,微博 weibo.com,86276,19150,24912
",93岁核潜艇之父,我的一生属于祖国,1958年,中国开始研制核潜艇,刚毕业的黄旭华加入其中,靠一个算盘,一把计算尺,一座小岛,他带领29人拉开中国核潜艇建造序幕,为确保国家机密不泄露,他隐姓埋名30年,老人常说,这辈子没有虚度,我的一生属于核潜艇,属于祖国,央视新闻的秒拍视频致敬,",True,2018-01-03 10:51,新媒体聚合平台,110129,13544,6444
"转发理由,国歌嘹亮,记住她们的名字,朱婷,张常宁,惠若琪,刘晓彤,徐云丽,颜妮,袁心玥,杨方旭,龚翔宇,丁霞,魏秋月,林莉,郎平,想拥抱她们的转起,原始用户,人民日报,转发内容,一起看奥运,此刻,一起转发,见证中国女排的荣耀时刻,奥运金牌,此刻,国歌为你们响起,国旗因你们升起,转发,致敬中国女排,见证王者归来,组图共9张,原图,",False,2016-08-21 11:49,微博 weibo.com,23591,103856,2612
",福建省生态环境厅通报,持续跟踪监测大气环境质量,福建省生态环境厅今晚通报,据当地海洋部门反馈,目前海面油污已基本清理完毕,应急处置过程中产生的废吸油毡等危险废物,已由有资质单位处置,福建泉州环境监测中心站仍持续开展大气环境质量跟踪监测,人民日报记者钟自炜,福建省生态环境厅通报,持续跟踪监测大气环境质量,",True,2018-11-08 21:53,微博 weibo.com,58535,30962,40137
",长歌当哭,昨天7小时内3名民警因公殉职,14日10时,四川凉山州布拖县公安局民警贾巴伍各遭毒贩开枪伏击牺牲,14日3时,河南荥阳市公安局局长因劳累过度,突发心肌梗塞去世,14日7时,河北永清县看守所所长韩秀文查岗时突发心梗去世,长歌当哭,黑色星期三,英雄,一路走好,长安剑,组图共3张,原图,",True,2017-06-15 09:16,微博 weibo.com,111335,5693,12555
",2017两会,傅莹霸气回应合集,你被圈粉了吗,作为全国人大首位女发言人,傅莹以独特魅力,在两会现场传递中国声音,此前的两届慕尼黑安全会议上,她更,舌战群儒,驳斥西方外交官对中国,刁难,一头银发,气质优雅,柔中带刚,傅莹霸气回应合集,你被圈粉了吗,人民日报的秒拍视频,",True,2017-03-04 08:00,微博 weibo.com,92572,25713,11267
",致敬,战士冒死在边境徒手排雷,附近遍布骷髅图标,在中越边境云南段,排雷战士正用血肉之躯,进行第3次大规模排雷,前2次排雷行动中,牺牲1人,负伤30余人,因伤致残12人,而这次雷区更危险,爆炸物种类多达30余种,世界罕见,何来岁月静好,是有人替我们负重前行,致敬英雄,实拍,战士冒死在中越边境徒手排雷,附近遍布骷髅图标,组图共9张,原图,",True,2016-12-07 10:21,新媒体聚合平台,105099,12886,11314
",致敬,山西,交警保护过路学生被撞,壮烈牺牲,15日中午,山西翼城县星杰中学门前,一辆刹车失灵的大货车冲向正在放学的学生,危急关头,正在执勤的3名交警,不顾个人安危冲上前,用身体护住过路学生,被失控车辆撞倒,民警贺冰经抢救无效死亡,年仅40岁,一路走好,公安部打四黑除四害,原图,",True,2015-01-16 08:51,微博 weibo.com,81577,24766,22354
",50岁警察为救跳楼者坠地,抢救23天后不幸殉职,7月24日,上海浦东民警王向前接报,有人讨薪扬言要跳楼,情绪激动,为劝阻,50岁的他在攀爬两把梯子捆起的扶梯时不幸坠地,后脑着地,深度昏迷,因伤势过重,昨天,老王因公殉职,永远离开了他坚守的公安岗位,",True,2017-08-16 12:04,新媒体聚合平台,108847,4311,15449
",长生生物回应,感到十分的自责和愧疚,进行彻底整改,长生生物晚间回复深交所称,目前,公司百白破生产车间已经停产,公司正积极研究百白破组份疫苗以及以此为基础的多联疫苗,对于此次事件的发生,感到十分的自责和愧疚,再次向各位接种者和投资者表示深深的歉意,公司将引以为戒,举一反三,制定切实可行的纠正措施,进行彻底整改,确保生产的合规性,真实性,可靠性,可追溯性以及疫苗质量的安全性,组图共3张,原图,",True,2018-07-22 17:45,新媒体聚合平台,20337,53932,54177
",我妈妈是外卖配送员,这个男孩的告白看哭了多少人,最近,一个名叫李仁志的初中生,讲述了自己妈妈是外卖配送员的故事,很多人说,看哭了,我希望大家都能给像我妈妈一样的人多一些善意,因为当你打开门的那一瞬间,看见的也有可能是我爸爸捧在手里的小公主,少年说的微博视频,",True,2019-01-16 12:31,微博 weibo.com,94243,25435,8721
",又一名南京大屠杀幸存者离世,在册幸存者只剩99位,15日,南京大屠杀幸存者佘子清因病离世,享年84岁,他的母亲在日军侵占南京后遇难,老人坚持14年在纪念馆义务讲解,在铸有222位历史证人脚印的,铜版路,他的脚印就在其中,目前,登记在册的南京大屠杀幸存者仅剩99位,转发,送别佘老,原图,",True,2017-11-16 10:09,新媒体聚合平台,110941,11306,5868
",警犬抓捕逃犯受重伤,临终前用尽全力跳下床向训练员道别,警察王雷讲述警犬英雄的故事,有一只警犬叫刺狼,它曾为了抓捕逃犯,从4米平房顶一跃而下,造成内脏严重受损,临终前,为见训练自己的警员最后一面,它硬撑着跳下床,它们不会保护自己,它们会永远义无反顾执行你的命令,保护你,BTV我是演说家的微博视频,",True,2018-03-13 19:02,微博 weibo.com,98174,16882,12861
",正在直播,史上第一张黑洞照片,来了,黑洞究竟长什么样子,人类史上首张黑洞照片如何拍出,北京时间4月10日晚21点,全球六地,比利时布鲁塞尔,智利圣地亚哥,中国上海和台北,日本东京和美国华盛顿,将召开全球新闻发布会,澎湃新闻,人民日报的微博直播,",True,2019-04-10 20:36,微博网页版,113768,4504,9528
",又一位,南京大屠杀幸存者杨秀英离世,8日上午,南京大屠杀幸存者杨秀英因病离世,终年90岁,1937年12月13日,她的父亲杨丙荣被日军活活刺死,后来全家到金陵女子大学避难,杨秀英在阴阳营目睹很多被日军屠杀的平民百姓遗体,见证者一个个在凋零,勿忘曾经的苦难,转发,送别老人,组图共2张,原图,",True,2018-03-09 12:55,新媒体聚合平台,111366,8907,7371
",96岁,中国肝胆外科之父,一周3台手术,亲自操刀,吴孟超是中国肝脏外科的开拓者,他创造过中国乃至世界外科领域许多个第一,年近百岁,却依然拿着手术刀,在手术室的方寸之地,挽救着患者们的生命,8月31日是他96岁高寿,祝福这位可敬可爱的老人,新华视点的秒拍视频,",True,2018-08-31 19:55,新媒体聚合平台,107831,10785,8456
",收藏这一份就够了,里约奥运完整赛程表终极版,2016里约奥运会今天正式开幕,四年一次的体育盛宴即将袭来,体操,田径,游泳,乒乓球,羽毛球,你关注的比赛什么时候进行,哪场比赛将产生金牌,奥运观赛日历终极版,600多场比赛的时间,轮次通通在这里,转发收藏,今天开始,一起看奥运,组图共9张,原图,",True,2016-08-06 12:19,人民日报微博,40732,77948,7953
",乘地铁怕弄脏座椅,农民工兄弟席地而坐,沈阳地铁一号线上,看到几个农民工,车里明明都是空座却选择坐在地上,15日,一名沈阳网友爆料,在地铁上偶遇三位可爱的农民工兄弟,明明车厢内有不少空座,却都坐在地上,有两位还打起盹来,这一幕令人感动但也有些心酸,怕弄脏座椅,农民工乘地铁席地而坐,原图,",True,2016-10-16 20:03,微博 weibo.com,97977,10503,18102
",为孩子转,一定要教会孩子的15件事,红黄蓝幼儿园涉嫌虐童引发热议,真相仍在调查,但接二连三的虐童事件刺痛公众神经,家长不可能24小时贴身守护,给孩子更安全的社会环境的同时,也要教他们学会自我保护,有哪些孩子一定要知道的安全常识,哪些信号可以判断孩子有无异常,戳图,保护孩子,转,组图共9张,原图,",True,2017-11-25 09:02,新媒体聚合平台,56671,58560,11342
",基因编辑婴儿遭学界业界质疑,车上没刹车,你敢去开吗,贺建奎,基因编辑婴儿,事件引发轩然大波,业内专家对实验的动机和必要性,实验过程的合规性,实验影响的不可控性提出质疑,有专家认为,从各个方面来看,这个实验都是十分草率的,可能会带来很多问题,如果缺少了法律和框架,就像车上没有刹车,你敢去开吗,人民日报记者谷业凯,基因编辑婴儿遭学界业界质疑,车上没刹车,你敢去开吗,",True,2018-11-26 21:38,微博 weibo.com,58157,34808,33449
",儿女被拐,妈妈摆鞋摊原地苦等20年请为她转,1996年,贵州都匀市,7岁的胡华兰和5岁半胡华白同时被拐走,20年来,母亲罗兴珍一直摆鞋摊,坚守在都匀,等孩子们回家,她说,并不要他们养我,只要知道他们在的地方就可以了,华兰,华白你们在哪,妈妈还在等你们回家,",True,2016-11-23 18:33,微博 weibo.com,53503,55843,16888
",中国,男神,惊艳墨西哥,帅炸了,中国军人,中国人民解放军三军仪仗队走的方阵,向全世界展示了什么是中国气质,太长脸了,满满的自豪,",True,2017-02-04 15:45,新媒体聚合平台,90761,21173,14120
",他们身上,有,太阳的勋章,妈妈,爸爸为什么这么黑,孩子,那是太阳的勋章,只有你爸爸他们才有,童话般的对话背后,是一张张黝黑面孔,他们,面对洪水,逆流而上,他们,头顶烈日,绝不退缩,晒得脱皮,长痘,晒出,太阳勋章,让家园,恢复原来模样,致敬,抗洪勇士,军报记者,组图共9张,原图,",True,2016-07-14 21:35,微博 weibo.com,108579,9039,8290
",永远的,哥哥,永远的张国荣,他是,霸王别姬,中风华绝代的虞姬,倩女幽魂,中痴情儒雅的宁采臣,英雄本色,里固执坚守的阿杰,沉默是金,有谁共鸣,风继续吹,他留下无数经典,14年前的今天,47岁的他纵身一跃,让无数人悲痛唏嘘,今天,怀念他,也关注身边的抑郁症患者,组图共9张,原图,",True,2017-04-01 09:33,新媒体聚合平台,103010,14147,8340
",特朗普,美朝领导人会晤将按原计划举行,美国总统特朗普1日在白宫会见朝鲜劳动党中央委员会副委员长金英哲后说,美朝领导人会晤将如期于6月12日在新加坡举行,金英哲1日下午赴白宫,与特朗普举行会谈并转交了金正恩的亲笔信,人民日报记者高石,原图,",True,2018-06-02 06:54,新媒体聚合平台,75386,28665,21077
",十年对比挑战,十年春运,回家路,十年,哐当哐当,的声音驶向远方,回家的方式和速度变了,十年,背上行囊,穿过人潮,你我表情里,永远写着不变的归心似箭,变与不变,都在那条通向,家,的路上,为游子,转,祝你一路平安,组图共9张,原图,",True,2019-01-28 08:02,新媒体聚合平台,69762,33884,21310
",7岁重疾姐姐拿出存钱罐,我不治了,有钱救妹妹吧,河南登封7岁的王越和1岁半的妹妹均患石骨症,随时可能猝死,父亲在骨髓库找到全相合供者,但一个孩子治疗费用至少50万,借遍亲友仍凑不够,王越拿出存钱罐,给妹妹治病吧,我大了,不治也没关系的,登封7岁重疾姐姐流泪拿出存钱罐,我不治了,有钱救妹妹吧,帮帮孩子,组图共6张,原图,",True,2017-08-06 20:43,新媒体聚合平台,96722,12185,16034
",人民直播,英雄,归来,在韩志愿军遗骸回国仪式,中韩在韩国仁川举行在韩志愿军烈士遗骸装殓仪式,此次韩方共向中方移交10具烈士遗骸及部分遗物,并于4月3日在韩国举行遗骸交接仪式,继而回归祖国,清明将至,英雄老兵们可以回家了,人民日报,在现场,戳直播,寻找英雄,人民日报的微博直播,",True,2019-04-03 10:52,微博网页版,110115,7264,7526
",中国天眼之父,南仁东病逝,享年72岁,国家天文台消息,中国天眼,FAST,首席科学家,总工程师南仁东因病,9月15日23时23分逝世,享年72岁,FAST是世界最大单口径射电望远镜,可接收137亿光年以外电磁信号,南仁东20多年,铸天镜,没有他就没有FAST,致敬,送别,人民日报的秒拍视频,",True,2017-09-16 14:34,新媒体聚合平台,101393,14404,8648
",南海海上阅兵,厉害了,习近平察看辽宁舰舰载机起飞,海上阅兵结束后,习近平主席察看了辽宁舰歼,15飞机起飞训练情况,4架战机先后腾空而起,直插云霄,人民日报的秒拍视频,",True,2018-04-12 19:55,秒拍网页版,102588,13516,8176
",传递,榜样的力量,9图告诉你什么是,开挂的人生,她是浙大90后博导,被誉为学霸,女神的杨树,他是中国泳坛第一人,多项世界纪录的保持者孙杨,她是清华,学术女神,他是棋坛最年轻,四冠王,他们职业不同,但有一个共同的称呼,青春榜样,一起感受他们的责任与担当,为奋斗的青春,点赞,组图共9张,原图,",True,2017-09-04 08:36,新媒体聚合平台,91428,23804,8996
",一起看奥运,里约奥运,中国乒乓球队包揽男单,女单,男团,女团的所有金牌,所向披靡的背后,是不为人知的努力,你们曾受过的伤,都是最闪耀的勋章,转发,向国球致敬,",True,2016-08-18 11:32,人民日报微博,84632,30404,9129
"鲫鱼大补汤,体虚者的福音,学会了做给身边的人喝,人民日报的秒拍视频,西瓜视频,",True,2017-10-09 12:11,微博 weibo.com,52189,62137,9759
",环保狗,游泳捡瓶子,十年捡空瓶2000个,苏州双塔街道有一只爱捡瓶子的,环保,金毛犬,狗的主人介绍,它只要看见有瓶子在河中漂着,就会游过去叼回来,上岸后还会把瓶子叼到垃圾桶边,等主人把瓶子扔进桶中,每次出门,它至少要捡回二三十个瓶子,十年来累计捡瓶子超过2000个,姑苏晚报,组图共4张,原图,",True,2017-07-07 20:48,新媒体聚合平台,108715,7506,7821
",国防部,要求美国停止一切形式的对台售武,针对美国务院公告对台潜艇,营销核准证,国防部新闻发言人吴谦表示,中方要求美方恪守一个中国政策和中美三个联合公报规定,停止一切形式的美台军事联系,停止一切形式的对台售武,中国军队有能力,有决心挫败一切分裂祖国的企图,将采取一切必要措施坚定捍卫国家主权安全和领土完整,原图,",True,2018-04-09 19:38,微博 weibo.com,58702,38940,26385
",正在直播,习近平主席发表,2019新年贺词,今晚7时,国家主席习近平将发表二,一九年新年贺词,人民日报,正在直播,一起关注,人民日报的微博直播,",True,2018-12-31 19:01,微博网页版,112954,9416,1626
"他们是,川航英雄机长,刘传健,受伤的90后副驾驶,以及大家关心的机组人员,转发,向他们致敬,图,成都商报,组图共9张,原图,",True,2018-05-14 21:35,新媒体聚合平台,79034,37860,7002
",生日快乐,88岁袁隆平这样过生日,今天是袁老88岁生日,他仍然出现在首届国际稻作论坛上,参与专家讨论,下田实地查看,做全英文报告,袁老曾说,高产是我永恒的追求,超级杂交稻每公顷产量18吨是他的下一个目标,也是他的,生日愿望,辛苦了,祝袁老生日快乐,新华视点的秒拍视频,",True,2018-09-07 22:48,新媒体聚合平台,64109,55533,4068
",暖视频,感人,四川大货车翻下100米陡坡,50人手拉手爬坡救司机,21日,四川巴中一大货车翻下100米陡坡,车内三人受伤,货车司机受伤严重,因坡度太大,附近村民手拉手将司机的担架拖上坡,救援过程持续1个多小时,参与救援的医生,民警和群众50人左右,现场救援场面感人,成都商报1视频的秒拍视频,",True,2018-11-23 20:05,微博 weibo.com,104762,10364,8530
",厉害了,华为打破国际垄断,方案入选5G标准,美国时间11月17日,国际无线标准化机构3GPP的RAN1,87次会议,中国华为的PolarCode,极化码,方案,最终战胜美法,成为5G控制信道eMBB场景编码方案,这也是中国通信核心技术第一次占领至高点,预计2020年5G将开始全球范围内商用,中国方案入选5G标准,华为极化码胜选控制信道编码方案,组图共3张,原图,",True,2016-11-19 14:47,新媒体聚合平台,110121,8215,5319
",萌哭了,男神也有可爱的一面,听说,中国颜值担当的都保家卫国去了,我的中国军人感谢你们的负重前行,军粉,",True,2017-05-29 20:46,新媒体聚合平台,102220,12770,8594
",中国对美国商品加征关税,128项进口商品清单和税率,马卡达姆坚果15,椰子15,香蕉15,黑莓15,猕猴桃15,鲜,冷猪肉25,对美中止关税减让义务商品清单及加征关税税率,4月2日起实施,转发,关注,组图共9张,原图,",True,2018-04-02 06:55,新媒体聚合平台,65618,35561,22172
